project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;5;67;6.94
binarySearchTree2;binarySearchTree2.py;99;12;87;12.12
binarySearchTree3;binarySearchTree3.py;179;28;151;15.64
binarySearchTree4;binarySearchTree4.py;17;1;16;5.88
identifier1;identifier1.py;61;14;47;22.95
linkedList1;linkedList1.py;95;24;71;25.26
linkedList2;linkedList2.py;44;1;43;2.27
linkedList3;linkedList3.py;50;4;46;8.00
linkedList4;linkedList4.py;46;3;43;6.52
linkedList5;linkedList5.py;54;3;51;5.56
queue1;queue1.py;27;11;16;40.74
queue2;queue2.py;73;16;57;21.92
queue3;queue3.py;95;11;84;11.58
queue4;queue4.py;74;10;64;13.51
queue5;queue5.py;20;1;19;5.00
sort1;sort1.py;61;3;58;4.92
stack1;stack1.py;68;9;59;13.24
stack2;stack2.py;6;0;6;0.00
stack3;stack3.py;57;8;49;14.04
stack4;stack4.py;47;13;34;27.66
stack5;stack5.py;9;2;7;22.22
