project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;4328.82;38.09;17.92
binarySearchTree2;binarySearchTree2.py;12884.23;39.78;4.01
binarySearchTree3;binarySearchTree3.py;13799.70;4361.41;97.85
binarySearchTree4;binarySearchTree4.py;357.69;18.56;0.69
identifier1;identifier1.py;2249.50;1067.47;57.13
linkedList1;linkedList1.py;7890.97;2693.63;54.95
linkedList2;linkedList2.py;2486.61;203.43;5.24
linkedList3;linkedList3.py;1056.30;55.04;2.38
linkedList4;linkedList4.py;4331.65;6.86;1.91
linkedList5;linkedList5.py;4354.02;269.81;6.38
queue1;queue1.py;192.34;31.54;0.98
queue2;queue2.py;3354.75;644.98;14.16
queue3;queue3.py;1833.86;47.77;2.38
queue4;queue4.py;5934.35;1766.30;40.57
queue5;queue5.py;307.99;40.60;1.88
sort1;sort1.py;1372.89;862.66;62.66
stack1;stack1.py;5222.77;3129.42;66.00
stack2;stack2.py;85.02;83.03;2.03
stack3;stack3.py;1405.92;123.42;4.83
stack4;stack4.py;4328.64;10.29;1.23
stack5;stack5.py;6.59;6.22;0.39
