project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;158.05;151.73;7.31
binarySearchTree2;binarySearchTree2.py;138.35;132.70;5.98
binarySearchTree3;binarySearchTree3.py;280.89;271.36;11.12
binarySearchTree4;binarySearchTree4.py;8.45;7.99;0.45
identifier1;identifier1.py;106.25;42.96;3.24
linkedList1;linkedList1.py;134.72;130.56;4.81
linkedList2;linkedList2.py;22.17;21.04;1.20
linkedList3;linkedList3.py;458.84;19.62;2.98
linkedList4;linkedList4.py;37.50;35.54;2.06
linkedList5;linkedList5.py;197.29;111.38;3.46
queue1;queue1.py;5.33;4.95;0.36
queue2;queue2.py;43.51;41.85;1.90
queue3;queue3.py;49.71;47.54;2.29
queue4;queue4.py;59.83;56.74;3.35
queue5;queue5.py;5.49;5.05;0.42
sort1;sort1.py;634.15;87.51;6.02
stack1;stack1.py;81.02;76.01;4.33
stack2;stack2.py;12.15;11.20;0.81
stack3;stack3.py;561.19;50.62;5.91
stack4;stack4.py;67.20;61.34;3.77
stack5;stack5.py;4.09;3.80;0.27
