project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;345.89;188.63;10.15
binarySearchTree2;binarySearchTree2.py;274.83;159.66;7.56
binarySearchTree3;binarySearchTree3.py;460.25;268.36;11.75
binarySearchTree4;binarySearchTree4.py;18.44;10.62;0.69
identifier1;identifier1.py;184.29;70.65;4.70
linkedList1;linkedList1.py;267.26;135.94;7.38
linkedList2;linkedList2.py;51.84;28.66;1.67
linkedList3;linkedList3.py;172.41;27.41;1.90
linkedList4;linkedList4.py;85.07;43.19;2.50
linkedList5;linkedList5.py;238.28;116.44;5.45
queue1;queue1.py;15.36;8.16;0.50
queue2;queue2.py;94.87;54.14;2.50
queue3;queue3.py;122.12;67.82;3.46
queue4;queue4.py;156.76;77.82;7.22
queue5;queue5.py;23.07;9.78;0.66
sort1;sort1.py;301.61;91.76;6.11
stack1;stack1.py;105.36;56.93;3.48
stack2;stack2.py;17.99;9.59;0.76
stack3;stack3.py;594.38;35.40;6.39
stack4;stack4.py;238.30;44.91;11.22
stack5;stack5.py;6.47;3.41;0.20
