project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;132.01;126.43;6.12
binarySearchTree2;binarySearchTree2.py;106.91;101.68;5.16
binarySearchTree3;binarySearchTree3.py;217.98;209.61;9.68
binarySearchTree4;binarySearchTree4.py;6.96;6.50;0.42
identifier1;identifier1.py;99.24;36.07;2.90
linkedList1;linkedList1.py;110.03;105.98;4.35
linkedList2;linkedList2.py;19.54;18.37;1.14
linkedList3;linkedList3.py;198.36;16.46;1.15
linkedList4;linkedList4.py;34.37;30.14;2.14
linkedList5;linkedList5.py;96.41;94.15;2.57
queue1;queue1.py;5.18;4.80;0.36
queue2;queue2.py;45.76;41.62;2.46
queue3;queue3.py;45.84;43.63;2.30
queue4;queue4.py;57.56;54.55;3.16
queue5;queue5.py;5.35;4.98;0.34
sort1;sort1.py;628.07;82.03;5.50
stack1;stack1.py;65.38;61.38;3.72
stack2;stack2.py;11.31;10.51;0.75
stack3;stack3.py;535.67;46.52;3.09
stack4;stack4.py;73.18;60.19;5.99
stack5;stack5.py;3.57;3.30;0.26
