project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;100.74;94.85;6.02
binarySearchTree2;binarySearchTree2.py;90.00;85.04;4.78
binarySearchTree3;binarySearchTree3.py;170.29;162.54;8.33
binarySearchTree4;binarySearchTree4.py;5.92;5.44;0.45
identifier1;identifier1.py;96.29;33.17;2.81
linkedList1;linkedList1.py;81.08;77.33;3.88
linkedList2;linkedList2.py;16.83;15.78;1.04
linkedList3;linkedList3.py;196.33;14.31;1.25
linkedList4;linkedList4.py;29.63;25.84;2.30
linkedList5;linkedList5.py;71.26;68.94;2.46
queue1;queue1.py;4.79;4.41;0.36
queue2;queue2.py;37.49;32.93;2.53
queue3;queue3.py;40.51;38.09;2.43
queue4;queue4.py;49.76;46.84;2.95
queue5;queue5.py;4.94;4.51;0.40
sort1;sort1.py;622.66;76.49;5.29
stack1;stack1.py;66.60;62.09;4.00
stack2;stack2.py;10.75;9.99;0.68
stack3;stack3.py;526.13;40.61;2.52
stack4;stack4.py;65.35;53.96;4.72
stack5;stack5.py;3.67;3.39;0.27
