project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;39;32;7;82.05
binarySearchTree2;binarySearchTree2.py;31;27;4;87.10
binarySearchTree3;binarySearchTree3.py;25;12;13;48.00
binarySearchTree4;binarySearchTree4.py;21;20;1;95.24
identifier1;identifier1.py;30;24;6;80.00
linkedList1;linkedList1.py;33;26;7;78.79
linkedList2;linkedList2.py;26;20;6;76.92
linkedList3;linkedList3.py;28;10;18;35.71
linkedList4;linkedList4.py;27;22;5;81.48
linkedList5;linkedList5.py;17;14;3;82.35
queue1;queue1.py;20;11;9;55.00
queue2;queue2.py;22;16;6;72.73
queue3;queue3.py;23;11;12;47.83
queue4;queue4.py;21;19;2;90.48
queue5;queue5.py;21;19;2;90.48
sort1;sort1.py;29;4;25;13.79
stack1;stack1.py;25;14;11;56.00
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;31;15;16;48.39
stack4;stack4.py;26;17;9;65.38
stack5;stack5.py;17;9;8;52.94
