project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;26;17;9;65.38
binarySearchTree2;binarySearchTree2.py;22;14;8;63.64
binarySearchTree3;binarySearchTree3.py;28;17;11;60.71
binarySearchTree4;binarySearchTree4.py;22;22;0;100.00
identifier1;identifier1.py;31;25;6;80.65
linkedList1;linkedList1.py;22;13;9;59.09
linkedList2;linkedList2.py;33;31;2;93.94
linkedList3;linkedList3.py;26;14;12;53.85
linkedList4;linkedList4.py;30;19;11;63.33
linkedList5;linkedList5.py;20;15;5;75.00
queue1;queue1.py;19;11;8;57.89
queue2;queue2.py;28;21;7;75.00
queue3;queue3.py;26;13;13;50.00
queue4;queue4.py;24;15;9;62.50
queue5;queue5.py;19;13;6;68.42
sort1;sort1.py;34;10;24;29.41
stack1;stack1.py;39;13;26;33.33
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;26;17;9;65.38
stack4;stack4.py;25;12;13;48.00
stack5;stack5.py;18;9;9;50.00
