project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;78.04;72.90;5.19
binarySearchTree2;binarySearchTree2.py;82.99;77.94;4.87
binarySearchTree3;binarySearchTree3.py;153.89;145.91;8.39
binarySearchTree4;binarySearchTree4.py;5.82;5.39;0.40
identifier1;identifier1.py;95.59;32.41;2.88
linkedList1;linkedList1.py;65.99;62.58;3.48
linkedList2;linkedList2.py;14.52;13.46;1.04
linkedList3;linkedList3.py;440.56;15.01;1.35
linkedList4;linkedList4.py;26.58;24.16;1.99
linkedList5;linkedList5.py;54.72;52.65;2.17
queue1;queue1.py;5.24;4.88;0.34
queue2;queue2.py;28.25;26.53;1.74
queue3;queue3.py;45.45;35.76;4.04
queue4;queue4.py;45.76;42.87;2.91
queue5;queue5.py;5.13;4.78;0.32
sort1;sort1.py;623.13;77.35;5.15
stack1;stack1.py;70.90;66.29;4.17
stack2;stack2.py;11.04;10.21;0.73
stack3;stack3.py;526.30;37.89;2.30
stack4;stack4.py;55.38;48.68;3.39
stack5;stack5.py;3.72;3.46;0.24
