project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;28;23;5;82.14
binarySearchTree2;binarySearchTree2.py;23;17;6;73.91
binarySearchTree3;binarySearchTree3.py;25;17;8;68.00
binarySearchTree4;binarySearchTree4.py;21;20;1;95.24
identifier1;identifier1.py;34;28;6;82.35
linkedList1;linkedList1.py;22;16;6;72.73
linkedList2;linkedList2.py;26;21;5;80.77
linkedList3;linkedList3.py;32;18;14;56.25
linkedList4;linkedList4.py;32;22;10;68.75
linkedList5;linkedList5.py;18;12;6;66.67
queue1;queue1.py;20;14;6;70.00
queue2;queue2.py;23;18;5;78.26
queue3;queue3.py;31;24;7;77.42
queue4;queue4.py;21;16;5;76.19
queue5;queue5.py;21;21;0;100.00
sort1;sort1.py;37;15;22;40.54
stack1;stack1.py;28;17;11;60.71
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;30;19;11;63.33
stack4;stack4.py;25;16;9;64.00
stack5;stack5.py;17;10;7;58.82
