project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;507.27;214.47;10.04
binarySearchTree2;binarySearchTree2.py;466.61;194.16;8.59
binarySearchTree3;binarySearchTree3.py;967.34;408.79;16.05
binarySearchTree4;binarySearchTree4.py;32.79;13.53;0.80
identifier1;identifier1.py;246.98;76.15;5.02
linkedList1;linkedList1.py;448.45;183.91;7.31
linkedList2;linkedList2.py;81.67;32.22;1.82
linkedList3;linkedList3.py;261.49;29.42;1.77
linkedList4;linkedList4.py;143.68;49.84;2.86
linkedList5;linkedList5.py;367.43;141.56;5.45
queue1;queue1.py;24.39;8.94;0.66
queue2;queue2.py;174.40;68.06;3.11
queue3;queue3.py;190.06;72.87;3.63
queue4;queue4.py;264.38;97.36;6.66
queue5;queue5.py;24.08;9.62;0.68
sort1;sort1.py;823.74;94.31;5.79
stack1;stack1.py;217.99;66.63;3.72
stack2;stack2.py;34.02;9.88;0.82
stack3;stack3.py;630.63;40.33;3.25
stack4;stack4.py;202.46;51.53;5.14
stack5;stack5.py;11.95;3.49;0.20
