project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;22;15;7;68.18
binarySearchTree2;binarySearchTree2.py;19;7;12;36.84
binarySearchTree3;binarySearchTree3.py;36;23;13;63.89
binarySearchTree4;binarySearchTree4.py;17;16;1;94.12
identifier1;identifier1.py;23;18;5;78.26
linkedList1;linkedList1.py;19;10;9;52.63
linkedList2;linkedList2.py;22;20;2;90.91
linkedList3;linkedList3.py;25;19;6;76.00
linkedList4;linkedList4.py;34;27;7;79.41
linkedList5;linkedList5.py;18;12;6;66.67
queue1;queue1.py;18;11;7;61.11
queue2;queue2.py;25;14;11;56.00
queue3;queue3.py;30;20;10;66.67
queue4;queue4.py;19;7;12;36.84
queue5;queue5.py;18;17;1;94.44
sort1;sort1.py;40;13;27;32.50
stack1;stack1.py;28;13;15;46.43
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;27;20;7;74.07
stack4;stack4.py;18;10;8;55.56
stack5;stack5.py;17;10;7;58.82
