1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
22;28;39;26;22;24;34;28;22;30;26;23;35;31;38;25
12;23;31;22;19;28;30;20;27;25;24;25;27;33;29;25
27;25;25;28;36;29;27;24;21;25;21;30;27;24;18;24
13;21;21;22;17;20;17;21;20;20;16;18;21;17;18;20
18;34;30;31;23;26;31;31;29;30;34;36;27;24;33;22
15;22;33;22;19;24;20;26;25;23;21;21;25;23;27;16
15;26;26;33;22;30;28;24;29;29;20;29;24;34;29;21
15;32;28;26;25;28;33;27;30;27;28;33;30;25;27;27
14;32;27;30;34;26;19;30;27;28;24;33;30;29;30;21
17;18;17;20;18;17;19;23;31;24;20;25;24;22;19;17
15;20;20;19;18;18;20;18;18;20;18;20;19;19;20;21
17;23;22;28;25;22;29;36;30;22;22;21;22;24;23;19
21;31;23;26;30;24;35;28;29;29;22;34;35;37;28;22
13;21;21;24;19;23;18;27;25;24;25;23;27;22;22;28
11;21;21;19;18;18;21;21;16;21;14;16;15;16;20;22
30;37;29;34;40;25;44;39;29;34;39;37;25;37;30;25
25;28;25;39;28;25;33;22;23;32;22;24;26;30;32;20
10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
17;30;31;26;27;32;25;29;28;27;30;22;31;27;31;23
23;25;26;25;18;29;25;32;32;30;28;22;23;21;25;33
17;17;17;18;17;17;17;17;17;17;17;18;17;18;17;17
