project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;101.52;96.09;5.60
binarySearchTree2;binarySearchTree2.py;93.25;88.24;4.93
binarySearchTree3;binarySearchTree3.py;183.70;175.37;8.82
binarySearchTree4;binarySearchTree4.py;6.51;5.99;0.49
identifier1;identifier1.py;100.03;36.77;3.05
linkedList1;linkedList1.py;85.68;81.84;3.91
linkedList2;linkedList2.py;16.44;15.34;1.07
linkedList3;linkedList3.py;530.37;15.99;8.72
linkedList4;linkedList4.py;26.30;24.38;1.82
linkedList5;linkedList5.py;62.98;58.02;3.25
queue1;queue1.py;5.06;4.63;0.41
queue2;queue2.py;31.48;29.92;1.57
queue3;queue3.py;41.46;37.75;2.56
queue4;queue4.py;42.78;40.19;2.51
queue5;queue5.py;4.98;4.59;0.35
sort1;sort1.py;623.58;77.48;5.28
stack1;stack1.py;73.47;69.05;4.07
stack2;stack2.py;11.19;10.42;0.70
stack3;stack3.py;529.17;40.70;2.22
stack4;stack4.py;58.70;49.24;4.25
stack5;stack5.py;2.93;2.73;0.18
