project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;25;20;5;80.00
binarySearchTree2;binarySearchTree2.py;25;14;11;56.00
binarySearchTree3;binarySearchTree3.py;24;18;6;75.00
binarySearchTree4;binarySearchTree4.py;20;19;1;95.00
identifier1;identifier1.py;22;17;5;77.27
linkedList1;linkedList1.py;16;13;3;81.25
linkedList2;linkedList2.py;21;20;1;95.24
linkedList3;linkedList3.py;27;18;9;66.67
linkedList4;linkedList4.py;21;14;7;66.67
linkedList5;linkedList5.py;17;12;5;70.59
queue1;queue1.py;21;17;4;80.95
queue2;queue2.py;19;13;6;68.42
queue3;queue3.py;22;13;9;59.09
queue4;queue4.py;28;19;9;67.86
queue5;queue5.py;22;20;2;90.91
sort1;sort1.py;25;10;15;40.00
stack1;stack1.py;20;19;1;95.00
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;23;16;7;69.57
stack4;stack4.py;33;25;8;75.76
stack5;stack5.py;17;8;9;47.06
